,gemeentenaam,soort_regio,id,codering,aantal_inwoners,woningkenmerken,stadsverwarming
7740,Hoogeveen,Buurt,73,BU01185008,2555.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3879,Doetinchem,Buurt,98,BU02220303,1547.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10123,Midden-Drenthe,Buurt,46,BU17311109,153.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
309,Alkmaar,Buurt,98,BU03610905,234.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15363,WestMaasenWaal,Gemeente,35,GM0668,18820.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5856,'s-Gravenhage,Buurt,77,BU05181590,-724.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11180,OostGelre,Buurt,94,BU15860501,438.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
705,Amersfoort,Buurt,87,BU03071702,-477.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15330,Werkendam,Buurt,70,BU08700102,1252.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
915,Amsterdam,Buurt,35,BU03630611,-2957.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13781,Tilburg,Buurt,42,BU08553503,2180.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9136,Lelystad,Wijk,39,WK099547,0.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14755,Venlo,Buurt,82,BU09833102,3658.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12325,Rotterdam,Buurt,82,BU05990325,-12031.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14594,Velsen,Wijk,96,WK045301,9089.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10108,Midden-Drenthe,Wijk,11,WK173108,1641.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12234,DeRondeVenen,Wijk,47,WK073607,7624.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
6368,Haarlemmermeer,Buurt,44,BU03940117,8027.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2675,TenBoer,Buurt,89,BU00090000,4319.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8771,Leeuwarden,Buurt,64,BU00803102,1652.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16096,Zandvoort,Buurt,58,BU04730203,2950.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4034,Dongeradeel,Buurt,61,BU00580608,-161.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9197,Lelystad,Buurt,38,BU09957777,0.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10927,Oisterwijk,Buurt,66,BU08241402,336.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7829,Hoogezand-Sappemeer,Wijk,3,WK001807,993.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13045,StedeBroec,Buurt,13,BU05320000,4707.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7038,DenHelder,Wijk,76,WK040002,10835.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
140,Aalten,Buurt,39,BU01970400,-2765.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10535,Nijmegen,Buurt,7,BU02680842,3792.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2475,hetBildt,Buurt,92,BU00630101,689.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12821,Slochteren,Wijk,84,WK004004,-564.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8031,Houten,Buurt,21,BU03211231,1463.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,421.0
10310,Neder-Betuwe,Buurt,96,BU17400000,4459.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7847,Hoogezand-Sappemeer,Buurt,52,BU00181108,47.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15269,Weert,Wijk,95,WK098814,2242.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9816,Meerssen,Buurt,53,BU09380203,-997.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11693,Purmerend,Gemeente,76,GM0439,79928.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,686.0
15683,Wijchen,Buurt,93,BU02960121,79.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3009,Bronckhorst,Buurt,99,BU18760404,-322.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10064,Midden-Delfland,Buurt,60,BU18420005,-411.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11086,Olst-Wijhe,Buurt,63,BU17731233,433.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3697,Deventer,Buurt,73,BU01500404,1944.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9679,Maastricht,Buurt,68,BU09350209,6715.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15223,Waterland,Buurt,58,BU08520003,-1702.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10458,Nijkerk,Buurt,47,BU02670106,944.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9333,Lingewaard,Buurt,69,BU17050203,6069.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16088,Zandvoort,Buurt,86,BU04730103,-2067.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,53.0
14375,Vaals,Wijk,71,WK098100,2628.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16606,Zwolle,Buurt,39,BU01932110,2728.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3761,Diemen,Buurt,77,BU03840001,995.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12158,Roerdalen,Buurt,67,BU16690604,-7.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13148,Steenwijkerland,Buurt,70,BU17081103,-313.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7115,Hellendoorn,Buurt,17,BU01630303,2261.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10960,Oldambt,Buurt,16,BU18950501,611.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4304,Druten,Wijk,97,WK022504,1612.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7077,DenHelder,Buurt,7,BU04000600,855.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8264,Kampen,Buurt,69,BU01660303,227.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11398,Oss,Buurt,31,BU08280609,76.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8929,Leiden,Buurt,16,BU05460409,1053.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
