,id_old,gemeentenaam,codering,indelingswijziging_wijken_en_buurten,aantal_installaties_bij_woningen,aantal_zonnepanelen_per_installatie,opgesteld_vermogen_van_zonnepanelen,totaal_aantal_laadpalen,werkloosheidsuitkering_relatief,bijstandsuitkering_relatief,arbeidsongeschiktheidsuitkering_relatief,aow_uitkering_relatief,inwoners_vanaf_15_jaar,inwoners_vanaf_15_jr_tot_aow_leeftijd,inwoners_vanaf_de_aow_leeftijd
8945,1003,Leiden,BU05460701,1.0,53.0,,,1.0,30.0,140.0,60.0,585.0,5240.0,4470.0,770.0
12750,1004,Sittard-Geleen,BU18830701,1.0,40.0,,,1.0,80.0,40.0,245.0,850.0,2460.0,1920.0,520.0
8033,1005,Houten,BU03211233,1.0,32.0,12.0,91.0,1.0,50.0,20.0,130.0,290.0,3400.0,3140.0,250.0
1938,1001,Barneveld,BU02035410,1.0,65.0,7.0,113.0,1.0,60.0,225.0,225.0,1060.0,7450.0,5470.0,1980.0
673,1006,Amersfoort,BU03071001,1.0,4.0,,,0.0,100.0,235.0,350.0,680.0,5340.0,4430.0,910.0
10904,1008,Oisterwijk,WK082407,1.0,169.0,20.0,723.0,3.0,70.0,20.0,160.0,1055.0,17490.0,12850.0,4640.0
3511,1001,Dantumadiel,BU18910202,1.0,11.0,16.0,42.0,1.0,40.0,0.0,95.0,980.0,670.0,510.0,160.0
9393,1005,Littenseradiel,BU01400100,1.0,22.0,24.0,116.0,1.0,85.0,30.0,125.0,980.0,1200.0,900.0,300.0
7738,1001,Hoogeveen,BU01185006,1.0,147.0,,,3.0,90.0,215.0,275.0,1440.0,6570.0,4210.0,2370.0
4260,1004,Dronten,WK030305,1.0,65.0,38.0,569.0,,50.0,20.0,115.0,585.0,8130.0,6890.0,1230.0
8616,1000,Lansingerland,BU16211311,1.0,47.0,12.0,120.0,1.0,75.0,45.0,130.0,855.0,6100.0,4800.0,1310.0
12613,1007,Schouwen-Duiveland,BU16760809,1.0,7.0,18.0,29.0,1.0,55.0,0.0,240.0,1290.0,530.0,360.0,160.0
