,id_old,gemeentenaam,codering,indelingswijziging_wijken_en_buurten,aantal_installaties_bij_woningen,aantal_zonnepanelen_per_installatie,opgesteld_vermogen_van_zonnepanelen,totaal_aantal_laadpalen,werkloosheidsuitkering_relatief,bijstandsuitkering_relatief,arbeidsongeschiktheidsuitkering_relatief,aow_uitkering_relatief,inwoners_vanaf_15_jaar,inwoners_vanaf_15_jr_tot_aow_leeftijd,inwoners_vanaf_de_aow_leeftijd
16654,1008,Zwolle,BU01935080,1.0,29.0,17.0,112.0,2.0,40.0,0.0,70.0,1180.0,2050.0,1440.0,600.0
9625,1006,Maassluis,GM0556,,447.0,,,3.0,80.0,145.0,180.0,1020.0,109300.0,81350.0,27930.0
8101,1006,Huizen,WK040606,1.0,64.0,15.0,208.0,0.0,60.0,100.0,195.0,1420.0,13400.0,8640.0,4760.0
14912,1007,Vlaardingen,BU06220701,3.0,86.0,12.0,212.0,2.0,75.0,0.0,60.0,1135.0,11790.0,8460.0,3320.0
5586,1006,Goirle,BU07850710,1.0,9.0,14.0,28.0,0.0,80.0,50.0,170.0,845.0,2440.0,1920.0,520.0
4391,1005,Echt-Susteren,BU17111042,1.0,9.0,29.0,61.0,0.0,0.0,45.0,200.0,680.0,520.0,440.0,80.0
8,1000,AaenHunze,BU16800200,1.0,15.0,,,0.0,50.0,65.0,160.0,1295.0,1180.0,790.0,380.0
6150,1002,Gulpen-Wittem,BU17290602,1.0,,,,,0.0,0.0,0.0,0.0,160.0,120.0,40.0
10563,1005,Nissewaard,BU19300503,1.0,24.0,13.0,68.0,0.0,145.0,350.0,255.0,555.0,2840.0,2450.0,390.0
2795,1009,Borsele,BU06540903,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10899,1006,Oisterwijk,BU08240402,1.0,,,,0.0,95.0,0.0,30.0,900.0,300.0,240.0,80.0
14684,1000,Venlo,BU09831307,1.0,66.0,14.0,200.0,2.0,115.0,105.0,135.0,735.0,8160.0,6640.0,1510.0
13433,1004,Súdwest-Fryslân,BU19001405,1.0,,,,0.0,0.0,0.0,0.0,0.0,190.0,120.0,80.0
8585,1005,Landgraaf,BU08820206,1.0,55.0,17.0,198.0,1.0,85.0,45.0,235.0,965.0,3320.0,2520.0,820.0
10006,1009,Meppel,BU01191003,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0
2052,1008,Bellingwedde,BU00070207,1.0,4.0,,,0.0,105.0,0.0,130.0,695.0,480.0,400.0,80.0
7466,1002,Heumen,GM0252,,610.0,14.0,2097.0,21.0,80.0,80.0,175.0,1025.0,55900.0,41570.0,14340.0
14276,1002,Utrecht,BU03440534,1.0,83.0,,,3.0,35.0,20.0,55.0,520.0,11440.0,9940.0,1480.0
16644,1004,Zwolle,BU01934120,1.0,21.0,,,0.0,50.0,5.0,155.0,950.0,2080.0,1590.0,490.0
4171,1008,Dordrecht,BU05051910,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
7618,1004,HofvanTwente,BU17350002,1.0,,,,,70.0,35.0,95.0,2305.0,1950.0,810.0,1120.0
7881,1000,Hoorn,BU04052004,1.0,99.0,9.0,183.0,1.0,50.0,80.0,165.0,1885.0,5800.0,3080.0,2740.0
2031,1006,Bellingwedde,BU00070000,1.0,53.0,18.0,225.0,2.0,80.0,170.0,270.0,1155.0,7490.0,5330.0,2150.0
15234,1001,Waterland,BU08520201,1.0,,,,,80.0,20.0,95.0,870.0,440.0,360.0,90.0
3025,1007,Brummen,BU02130301,1.0,32.0,,,0.0,95.0,200.0,185.0,885.0,4160.0,3240.0,920.0
321,1005,Alkmaar,BU03611101,2.0,8.0,5.0,10.0,0.0,50.0,0.0,0.0,0.0,200.0,200.0,0.0
14159,1009,Uden,BU08560196,1.0,,,,0.0,0.0,10.0,90.0,590.0,590.0,500.0,80.0
10912,1006,Oisterwijk,BU08240902,1.0,40.0,17.0,157.0,,70.0,20.0,60.0,1240.0,4710.0,3250.0,1480.0
12504,1008,Schiedam,BU06060106,1.0,6.0,8.0,10.0,,135.0,235.0,170.0,385.0,5630.0,5090.0,560.0
7401,1002,'s-Hertogenbosch,BU07960707,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5984,1009,Groningen,BU00140103,1.0,14.0,37.0,116.0,0.0,70.0,160.0,150.0,500.0,17250.0,15100.0,2150.0
10737,1008,Noordoostpolder,BU01710113,1.0,157.0,14.0,486.0,5.0,80.0,25.0,160.0,120.0,5620.0,5460.0,170.0
10040,1007,Middelburg,BU06870109,1.0,,,,0.0,0.0,100.0,100.0,1165.0,160.0,120.0,40.0
15539,1008,Westland,BU17830904,1.0,5.0,10.0,12.0,3.0,15.0,0.0,110.0,580.0,300.0,260.0,40.0
3075,1003,Brunssum,BU08990205,1.0,34.0,14.0,100.0,0.0,115.0,125.0,315.0,1120.0,2600.0,1880.0,730.0
382,1001,Almelo,BU01411806,1.0,,,,0.0,0.0,0.0,0.0,0.0,80.0,60.0,0.0
3514,1008,Dantumadiel,WK189103,1.0,46.0,15.0,159.0,1.0,90.0,95.0,175.0,770.0,3810.0,3070.0,740.0
5827,1002,'s-Gravenhage,BU05180546,1.0,65.0,,,2.0,60.0,60.0,100.0,940.0,20870.0,15930.0,4940.0
8607,1009,Lansingerland,GM1621,,1790.0,,,29.0,80.0,60.0,120.0,710.0,190310.0,156450.0,33860.0
16320,1003,Zuidplas,BU18920104,3.0,35.0,12.0,99.0,1.0,65.0,40.0,135.0,995.0,3600.0,2710.0,900.0
9918,1004,Menameradiel,GM1908,,550.0,,,15.0,85.0,80.0,120.0,940.0,44650.0,34140.0,10520.0
16485,1003,Zwijndrecht,BU06420115,1.0,7.0,8.0,14.0,0.0,50.0,10.0,50.0,1930.0,1320.0,680.0,640.0
7333,1002,Hengelo,BU01640805,1.0,20.0,17.0,75.0,1.0,75.0,5.0,115.0,210.0,1560.0,1480.0,80.0
13176,1008,Stein,BU09710003,1.0,11.0,18.0,46.0,0.0,110.0,20.0,245.0,715.0,960.0,790.0,160.0
2095,1009,BergenDal,BU19450802,3.0,3.0,,,0.0,15.0,125.0,0.0,1135.0,250.0,190.0,80.0
9290,1001,Lingewaal,GM0733,,423.0,,,,65.0,55.0,160.0,870.0,36870.0,28850.0,8020.0
10486,1003,Nijkerk,BU02670502,3.0,159.0,,,4.0,60.0,20.0,100.0,1260.0,6760.0,4640.0,2120.0
14504,1007,Veenendaal,WK034505,1.0,605.0,10.0,1461.0,12.0,85.0,45.0,160.0,730.0,50360.0,41210.0,9150.0
11901,1002,Renkum,BU02741204,3.0,30.0,13.0,85.0,1.0,65.0,50.0,195.0,1360.0,3810.0,2510.0,1300.0
8451,1001,Krimpenerwaard,BU19310011,1.0,,,,0.0,0.0,0.0,0.0,650.0,290.0,240.0,40.0
6022,1007,Groningen,BU00140602,1.0,40.0,17.0,149.0,1.0,45.0,10.0,100.0,1145.0,2270.0,1630.0,640.0
7418,1001,'s-Hertogenbosch,BU07960909,1.0,5.0,12.0,14.0,0.0,105.0,250.0,375.0,815.0,4430.0,3530.0,900.0
4855,1007,Emmen,WK011421,1.0,55.0,17.0,212.0,,80.0,55.0,200.0,835.0,4360.0,3440.0,910.0
9785,1000,Medemblik,WK042008,1.0,82.0,12.0,220.0,1.0,95.0,95.0,205.0,880.0,6150.0,4780.0,1360.0
8633,1008,Lansingerland,BU16212211,1.0,34.0,,,0.0,55.0,135.0,60.0,1610.0,3410.0,2030.0,1380.0
11811,1006,Reimerswaal,BU07030102,1.0,16.0,19.0,65.0,0.0,35.0,0.0,110.0,650.0,1050.0,890.0,170.0
12101,1004,Rijswijk,BU06030432,2.0,25.0,8.0,49.0,0.0,100.0,10.0,140.0,1155.0,4200.0,2980.0,1210.0
5180,1007,DeFryskeMarren,WK194008,1.0,,,,0.0,0.0,0.0,0.0,855.0,190.0,150.0,40.0
3373,1005,Coevorden,BU01095062,1.0,,,,0.0,100.0,60.0,60.0,855.0,270.0,210.0,60.0
10198,1003,Moerdijk,BU17090703,1.0,8.0,,,0.0,150.0,20.0,190.0,610.0,400.0,340.0,60.0
10370,1003,Neerijnen,BU03040200,1.0,39.0,20.0,180.0,1.0,90.0,60.0,135.0,910.0,4790.0,3700.0,1080.0
8675,1003,Lansingerland,BU16213231,1.0,44.0,10.0,103.0,1.0,90.0,125.0,170.0,730.0,6650.0,5410.0,1220.0
16533,1009,Zwijndrecht,BU06420512,1.0,9.0,,,0.0,95.0,15.0,110.0,625.0,2010.0,1700.0,320.0
1086,1008,Amsterdam,BU03633803,1.0,3.0,,,0.0,110.0,220.0,190.0,325.0,6240.0,5740.0,520.0
3050,1009,Brummen,WK021306,1.0,375.0,,,7.0,80.0,80.0,180.0,1095.0,33930.0,24610.0,9320.0
7896,1007,Hoorn,WK040530,1.0,175.0,11.0,439.0,5.0,55.0,40.0,205.0,1110.0,10540.0,7620.0,2930.0
6886,1005,Heerhugowaard,BU03981801,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
1283,1006,Amsterdam,BU03637307,1.0,16.0,21.0,73.0,0.0,45.0,40.0,230.0,935.0,2190.0,1670.0,520.0
15977,1000,Woudrichem,BU08740409,1.0,9.0,21.0,42.0,1.0,60.0,0.0,160.0,745.0,620.0,500.0,120.0
6321,1006,Haarlem,BU03921901,1.0,16.0,10.0,33.0,0.0,40.0,40.0,95.0,130.0,1410.0,1360.0,40.0
9627,1007,Maassluis,BU05560101,1.0,21.0,10.0,51.0,0.0,90.0,90.0,180.0,750.0,8130.0,6600.0,1530.0
8632,1007,Lansingerland,WK162122,1.0,187.0,11.0,454.0,3.0,65.0,70.0,120.0,1050.0,15940.0,11770.0,4200.0
6396,1000,Haarlemmermeer,BU03940349,1.0,11.0,15.0,38.0,0.0,45.0,25.0,85.0,1025.0,1560.0,1170.0,400.0
11036,1006,Oldenzaal,BU01730700,1.0,,,,0.0,0.0,0.0,155.0,870.0,240.0,200.0,40.0
8335,1003,Kerkrade,BU09280000,1.0,163.0,15.0,525.0,2.0,60.0,135.0,425.0,1215.0,11330.0,7860.0,3490.0
15233,1004,Waterland,BU08520200,1.0,30.0,10.0,66.0,0.0,45.0,50.0,160.0,1145.0,5760.0,4120.0,1640.0
11849,1008,Renkum,BU02740204,3.0,,,,0.0,70.0,40.0,225.0,490.0,390.0,320.0,40.0
7760,1004,Hoogeveen,BU01185400,1.0,149.0,14.0,490.0,2.0,90.0,100.0,220.0,935.0,11460.0,8780.0,2680.0
5953,1008,'s-Gravenhage,BU05184110,1.0,,,,0.0,0.0,3365.0,0.0,0.0,450.0,450.0,0.0
5380,1009,Gemert-Bakel,BU16520500,1.0,,,,2.0,75.0,35.0,145.0,890.0,4710.0,3680.0,1060.0
2107,1002,BergenDal,BU19451100,1.0,3.0,19.0,13.0,0.0,40.0,40.0,300.0,1115.0,400.0,280.0,120.0
1700,1005,Assen,BU01060305,1.0,79.0,10.0,165.0,0.0,130.0,140.0,320.0,805.0,6160.0,4920.0,1240.0
5702,1003,Gorinchem,BU05120900,1.0,,,,1.0,0.0,0.0,0.0,0.0,80.0,40.0,40.0
9399,1007,Littenseradiel,BU01400107,1.0,,,,0.0,80.0,40.0,80.0,700.0,360.0,280.0,80.0
1425,1004,Amsterdam,BU03639603,1.0,31.0,,,0.0,130.0,400.0,390.0,365.0,6780.0,6140.0,640.0
4602,1003,Eijsden-Margraten,BU19030000,1.0,294.0,16.0,1082.0,6.0,75.0,20.0,200.0,1280.0,15450.0,10490.0,4960.0
4467,1008,Ede,BU02281004,1.0,76.0,13.0,224.0,3.0,95.0,45.0,105.0,110.0,3960.0,3860.0,120.0
4456,1009,Ede,BU02280307,1.0,97.0,13.0,279.0,2.0,70.0,15.0,165.0,940.0,7950.0,6090.0,1880.0
11764,1009,Raalte,BU01770109,1.0,73.0,23.0,381.0,4.0,95.0,0.0,200.0,715.0,5190.0,4260.0,920.0
6078,1009,Groningen,BU00141204,1.0,154.0,11.0,349.0,,105.0,155.0,175.0,520.0,6510.0,5680.0,840.0
6264,1007,Haarlem,BU03920905,1.0,71.0,11.0,169.0,,70.0,20.0,240.0,1080.0,3940.0,2870.0,1080.0
574,1009,AlphenaandenRijn,BU04847101,1.0,15.0,16.0,57.0,0.0,60.0,45.0,205.0,780.0,3670.0,2960.0,720.0
16362,1009,Zuidplas,BU18920409,3.0,61.0,12.0,165.0,1.0,100.0,75.0,130.0,530.0,7350.0,6380.0,980.0
4780,1009,Elburg,BU02300209,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
1143,1005,Amsterdam,BU03634900,1.0,8.0,17.0,32.0,0.0,75.0,0.0,0.0,915.0,2470.0,1910.0,560.0
12786,1007,Sliedrecht,BU06100403,1.0,,,,1.0,0.0,220.0,290.0,670.0,360.0,280.0,70.0
14652,1000,Velsen,BU04530804,1.0,59.0,12.0,147.0,1.0,60.0,20.0,175.0,615.0,7190.0,6090.0,1110.0
13662,1007,Tilburg,BU08551004,3.0,6.0,,,0.0,65.0,55.0,55.0,1305.0,2480.0,1680.0,820.0
15413,1005,Westerveld,BU17010600,1.0,23.0,15.0,75.0,1.0,40.0,45.0,290.0,755.0,770.0,630.0,160.0
989,1003,Amsterdam,WK036319,1.0,17.0,10.0,42.0,2.0,90.0,300.0,215.0,550.0,25180.0,21700.0,3470.0
5941,1007,'s-Gravenhage,BU05183826,1.0,8.0,20.0,37.0,1.0,120.0,460.0,255.0,355.0,27290.0,24850.0,2440.0
2763,1009,Borne,BU01470101,1.0,32.0,22.0,150.0,,110.0,20.0,140.0,935.0,3260.0,2490.0,770.0
12916,1004,Soest,WK034203,1.0,79.0,,,2.0,90.0,35.0,180.0,555.0,7830.0,6740.0,1090.0
5815,1009,'s-Gravenhage,BU05180271,1.0,109.0,,,2.0,70.0,80.0,120.0,900.0,27890.0,21570.0,6330.0
8594,1003,Landsmeer,BU04150009,1.0,5.0,12.0,14.0,0.0,5.0,0.0,80.0,635.0,720.0,600.0,120.0
11889,1003,Renkum,BU02741004,3.0,4.0,49.0,44.0,0.0,5.0,0.0,40.0,2940.0,1360.0,360.0,1000.0
4991,1006,Epe,BU02320000,1.0,33.0,16.0,119.0,0.0,65.0,20.0,245.0,1670.0,7280.0,4240.0,3050.0
14365,1007,UtrechtseHeuvelrug,BU15810302,1.0,30.0,20.0,131.0,1.0,65.0,40.0,205.0,570.0,5000.0,4290.0,720.0
1136,1009,Amsterdam,BU03634800,1.0,,,,0.0,105.0,265.0,300.0,805.0,4050.0,3240.0,820.0
5315,1004,Geldermalsen,BU02360101,3.0,14.0,9.0,31.0,0.0,45.0,85.0,110.0,875.0,1460.0,1140.0,320.0
5078,1009,Etten-Leur,BU07772004,1.0,19.0,13.0,54.0,,125.0,20.0,160.0,1235.0,4190.0,2890.0,1300.0
8215,1008,KaagenBraassem,BU18840102,1.0,65.0,,,,65.0,60.0,120.0,700.0,5350.0,4410.0,940.0
914,1007,Amsterdam,BU03630610,1.0,4.0,12.0,11.0,0.0,80.0,160.0,120.0,725.0,7600.0,6220.0,1370.0
5449,1006,GilzeenRijen,BU07840107,1.0,,,,0.0,50.0,0.0,0.0,835.0,360.0,280.0,80.0
1534,1002,Apeldoorn,BU02001501,1.0,22.0,17.0,82.0,0.0,55.0,0.0,135.0,1140.0,1930.0,1380.0,560.0
14463,1007,Veendam,BU00470109,1.0,15.0,,,1.0,90.0,0.0,225.0,730.0,680.0,560.0,120.0
2108,1001,BergenDal,WK194512,1.0,7.0,11.0,18.0,0.0,65.0,135.0,170.0,905.0,1610.0,1250.0,360.0
6810,1003,Heerenveen,BU00740109,1.0,7.0,15.0,23.0,0.0,90.0,0.0,325.0,1015.0,650.0,490.0,160.0
4323,1008,Duiven,BU02260401,1.0,100.0,15.0,350.0,2.0,115.0,60.0,215.0,600.0,10760.0,9120.0,1630.0
4685,1001,Eindhoven,WK077214,1.0,621.0,11.0,1679.0,9.0,80.0,200.0,275.0,780.0,134560.0,108140.0,26420.0
12908,1002,Smallingerland,BU00900132,1.0,13.0,,,0.0,105.0,20.0,95.0,955.0,1080.0,820.0,260.0
2267,1008,Berkelland,BU18590109,1.0,27.0,24.0,138.0,0.0,55.0,10.0,425.0,835.0,2310.0,1830.0,480.0
10669,1008,Noord-Beveland,WK169502,1.0,44.0,,,1.0,45.0,40.0,280.0,945.0,1550.0,1170.0,360.0
1235,1007,Amsterdam,BU03636601,1.0,9.0,,,0.0,95.0,40.0,180.0,665.0,1370.0,1150.0,240.0
3733,1007,Deventer,BU01501004,1.0,58.0,14.0,174.0,2.0,145.0,120.0,275.0,840.0,8110.0,6400.0,1690.0
5634,1004,GooiseMeren,BU19420103,1.0,,,,,90.0,0.0,20.0,870.0,1680.0,1320.0,360.0
11007,1002,Oldebroek,BU02690103,1.0,90.0,15.0,310.0,4.0,90.0,20.0,160.0,860.0,4740.0,3710.0,1030.0
3990,1007,Dongeradeel,BU00580100,1.0,18.0,,,0.0,90.0,65.0,180.0,1290.0,2840.0,1930.0,920.0
3600,1003,Delft,WK050326,1.0,,,,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0
7144,1003,Hellendoorn,BU01630700,1.0,52.0,22.0,249.0,0.0,80.0,25.0,195.0,965.0,3730.0,2840.0,890.0
2517,1005,Binnenmaas,BU05850101,1.0,15.0,,,1.0,85.0,10.0,65.0,930.0,840.0,640.0,200.0
3388,1007,Cranendonck,BU17060101,1.0,8.0,26.0,45.0,0.0,40.0,40.0,150.0,1020.0,400.0,280.0,100.0
10973,1002,Oldambt,WK189508,1.0,42.0,,,,90.0,140.0,340.0,780.0,1920.0,1550.0,370.0
2610,1000,Bloemendaal,BU03770401,1.0,23.0,,,1.0,55.0,10.0,70.0,1435.0,2830.0,1810.0,1010.0
11156,1008,OostGelre,BU15860103,1.0,18.0,17.0,71.0,0.0,115.0,20.0,125.0,1445.0,840.0,530.0,320.0
5934,1009,'s-Gravenhage,BU05183721,1.0,7.0,50.0,80.0,0.0,125.0,280.0,285.0,300.0,16740.0,15450.0,1280.0
5286,1001,Geertruidenberg,GM0779,,441.0,15.0,1513.0,8.0,85.0,80.0,180.0,905.0,72310.0,55890.0,16430.0
14134,1008,Tytsjerksteradiel,WK073708,1.0,90.0,14.0,299.0,2.0,115.0,100.0,200.0,825.0,7490.0,5950.0,1540.0
16581,1003,Zwolle,BU01931140,1.0,9.0,7.0,15.0,0.0,45.0,60.0,180.0,975.0,2960.0,2230.0,720.0
10011,1004,Meppel,BU01191102,1.0,,,,,0.0,0.0,0.0,0.0,40.0,40.0,0.0
12471,1005,Schagen,BU04410205,1.0,11.0,14.0,37.0,0.0,45.0,30.0,180.0,755.0,630.0,510.0,120.0
8136,1008,Hulst,BU06770214,1.0,,,,0.0,0.0,0.0,0.0,0.0,140.0,120.0,40.0
4402,1005,Edam-Volendam,BU03850003,1.0,,,,1.0,40.0,0.0,140.0,1610.0,4260.0,2550.0,1710.0
15505,1006,Westland,BU17830507,1.0,14.0,19.0,58.0,,90.0,350.0,240.0,990.0,3060.0,2290.0,760.0
16482,1008,Zwijndrecht,BU06420112,1.0,24.0,,,0.0,75.0,80.0,130.0,2005.0,5610.0,2790.0,2820.0
280,1007,Alkmaar,WK036105,3.0,151.0,12.0,427.0,2.0,75.0,120.0,295.0,1035.0,25610.0,18970.0,6630.0
4615,1002,Eijsden-Margraten,BU19030202,1.0,19.0,19.0,82.0,0.0,15.0,5.0,170.0,1105.0,710.0,520.0,200.0
14662,1008,Venlo,BU09831101,1.0,,,,1.0,90.0,155.0,150.0,585.0,5000.0,4260.0,740.0
14712,1009,Venlo,BU09831607,1.0,,,,0.0,0.0,0.0,0.0,0.0,180.0,180.0,0.0
8465,1002,Krimpenerwaard,BU19310208,1.0,42.0,16.0,155.0,0.0,40.0,40.0,140.0,660.0,4560.0,3810.0,760.0
15007,1002,Vlissingen,BU07180504,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
2214,1004,BergenopZoom,WK074802,1.0,980.0,,,18.0,125.0,255.0,280.0,900.0,62590.0,48590.0,14000.0
2201,1005,BergenopZoom,WK074800,1.0,411.0,,,4.0,110.0,155.0,235.0,1055.0,47500.0,34910.0,12590.0
6651,1000,Harderwijk,BU02431403,1.0,3.0,17.0,11.0,0.0,25.0,20.0,20.0,320.0,730.0,670.0,70.0
13287,1007,StichtseVecht,BU19041205,1.0,67.0,11.0,163.0,0.0,145.0,20.0,200.0,515.0,6970.0,6070.0,900.0
7793,1002,Hoogezand-Sappemeer,WK001801,1.0,262.0,,,2.0,110.0,220.0,285.0,1090.0,23420.0,17010.0,6410.0
12649,1009,Simpelveld,BU09650003,1.0,70.0,16.0,236.0,1.0,70.0,35.0,255.0,725.0,3300.0,2690.0,610.0
4934,1002,Enschede,BU01530206,1.0,28.0,10.0,66.0,,90.0,350.0,305.0,655.0,6000.0,5020.0,990.0
1303,1004,Amsterdam,BU03637704,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12241,1007,Roosendaal,GM1674,,1760.0,17.0,6364.0,33.0,105.0,125.0,200.0,935.0,260950.0,199960.0,61000.0
16246,1005,Zoetermeer,BU06370501,1.0,477.0,,,,105.0,45.0,180.0,640.0,42550.0,35770.0,6770.0
13533,1001,Terneuzen,BU07157600,1.0,,,,0.0,0.0,0.0,0.0,0.0,110.0,70.0,40.0
2337,1005,Bernheze,BU17210501,3.0,13.0,,,1.0,65.0,0.0,100.0,955.0,1160.0,880.0,280.0
6803,1006,Heerenveen,BU00740102,1.0,54.0,14.0,160.0,1.0,125.0,290.0,275.0,1080.0,11890.0,8680.0,3200.0
15589,1001,Weststellingwerf,WK009807,1.0,75.0,17.0,297.0,4.0,125.0,40.0,195.0,830.0,5700.0,4510.0,1190.0
12425,1008,Rotterdam,BU05992705,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2252,1002,Berkelland,BU18590005,1.0,22.0,18.0,83.0,,50.0,40.0,180.0,885.0,1040.0,800.0,240.0
12745,1004,Sittard-Geleen,BU18830606,1.0,14.0,27.0,86.0,0.0,20.0,20.0,180.0,1160.0,820.0,580.0,240.0
799,1009,Amstelveen,BU03620102,3.0,53.0,11.0,129.0,0.0,70.0,20.0,125.0,820.0,11750.0,9300.0,2440.0
6884,1002,Heerhugowaard,BU03981702,1.0,5.0,,,0.0,85.0,115.0,915.0,290.0,410.0,380.0,40.0
2813,1006,Borsele,BU06541502,1.0,20.0,21.0,94.0,1.0,65.0,0.0,120.0,700.0,1160.0,960.0,200.0
1785,1006,Asten,GM0743,,480.0,20.0,2094.0,13.0,85.0,60.0,180.0,955.0,56530.0,43020.0,13500.0
888,1001,Amsterdam,BU03630400,1.0,,,,1.0,85.0,110.0,100.0,405.0,1700.0,1520.0,160.0
13569,1005,Texel,BU04480002,1.0,46.0,12.0,129.0,0.0,60.0,40.0,245.0,870.0,3100.0,2430.0,670.0
13012,1001,Staphorst,BU01800001,1.0,5.0,24.0,27.0,0.0,35.0,15.0,165.0,920.0,1010.0,770.0,240.0
10953,1000,Oldambt,BU18950301,1.0,,,,0.0,95.0,390.0,385.0,1090.0,3140.0,2280.0,840.0
16510,1009,Zwijndrecht,WK064204,1.0,167.0,11.0,420.0,1.0,100.0,20.0,140.0,670.0,21390.0,17810.0,3580.0
9971,1002,Meppel,WK011901,1.0,7.0,10.0,15.0,0.0,125.0,375.0,320.0,595.0,1320.0,1120.0,200.0
1070,1005,Amsterdam,BU03633501,1.0,92.0,10.0,211.0,2.0,85.0,145.0,210.0,170.0,7360.0,7050.0,320.0
4639,1006,Eijsden-Margraten,BU19030505,1.0,3.0,21.0,14.0,0.0,70.0,0.0,310.0,900.0,240.0,180.0,40.0
2536,1006,Binnenmaas,BU05850309,1.0,19.0,,,0.0,105.0,55.0,140.0,850.0,1580.0,1250.0,330.0
6715,1000,Heemskerk,BU03960100,1.0,8.0,15.0,27.0,0.0,80.0,30.0,160.0,1955.0,5260.0,2680.0,2580.0
190,1009,Alblasserdam,BU04820302,1.0,23.0,,,0.0,70.0,0.0,80.0,460.0,2020.0,1790.0,240.0
13678,1008,Tilburg,BU08551402,3.0,,,,0.0,75.0,185.0,325.0,1210.0,2710.0,1890.0,810.0
13084,1008,Steenwijkerland,BU17080006,1.0,57.0,,,,85.0,75.0,280.0,1760.0,4870.0,2720.0,2150.0
10779,1005,Noordoostpolder,WK017111,1.0,53.0,,,,75.0,30.0,170.0,705.0,5440.0,4490.0,970.0
2124,1004,Bergeijk,WK172403,1.0,88.0,20.0,396.0,2.0,80.0,20.0,115.0,1000.0,8160.0,6120.0,2030.0
3780,1009,Diemen,WK038402,1.0,150.0,10.0,360.0,2.0,90.0,60.0,165.0,770.0,25530.0,20570.0,4980.0
2670,1008,Boekel,WK075501,1.0,54.0,29.0,353.0,2.0,50.0,20.0,115.0,695.0,5510.0,4560.0,960.0
14554,1004,Veere,BU07171001,1.0,,,,0.0,0.0,0.0,0.0,0.0,80.0,40.0,40.0
11716,1004,Purmerend,BU04390505,1.0,,,,27.0,80.0,140.0,380.0,490.0,500.0,450.0,80.0
15111,1009,Vught,BU08650108,1.0,,,,0.0,30.0,0.0,90.0,840.0,460.0,360.0,100.0
8222,1009,KaagenBraassem,BU18840201,1.0,3.0,,,0.0,0.0,0.0,0.0,350.0,160.0,130.0,40.0
7070,1008,DenHelder,BU04000504,1.0,27.0,,,0.0,65.0,160.0,280.0,1545.0,4510.0,2770.0,1750.0
14251,1003,Utrecht,BU03440343,1.0,,,,0.0,35.0,0.0,90.0,665.0,830.0,700.0,140.0
14216,1007,Utrecht,BU03440111,1.0,21.0,,,0.0,50.0,40.0,60.0,1045.0,5050.0,3730.0,1320.0
15141,1006,Waalwijk,BU08670101,1.0,67.0,15.0,228.0,0.0,100.0,80.0,190.0,785.0,13630.0,10960.0,2670.0
6146,1003,Gulpen-Wittem,BU17290509,1.0,,,,0.0,75.0,0.0,220.0,1065.0,760.0,560.0,200.0
9368,1002,Lisse,WK055316,1.0,3.0,10.0,7.0,,15.0,0.0,160.0,465.0,280.0,240.0,40.0
16538,1002,Zwijndrecht,BU06420601,1.0,,,,0.0,75.0,355.0,345.0,1675.0,1460.0,840.0,610.0
10800,1008,Noordwijkerhout,WK057600,1.0,410.0,17.0,1530.0,6.0,80.0,60.0,180.0,920.0,56020.0,43120.0,12890.0
1352,1004,Amsterdam,BU03638704,1.0,,,,0.0,35.0,1880.0,40.0,0.0,2250.0,2250.0,0.0
598,1009,Alphen-Chaam,WK172301,1.0,106.0,24.0,569.0,,80.0,40.0,120.0,1120.0,14260.0,10260.0,3980.0
832,1000,Amstelveen,BU03620904,3.0,8.0,12.0,22.0,0.0,95.0,145.0,220.0,1265.0,7410.0,5050.0,2350.0
12896,1001,Smallingerland,BU00900120,1.0,79.0,22.0,371.0,3.0,75.0,45.0,135.0,925.0,5600.0,4300.0,1310.0
8746,1008,Leeuwarden,BU00801006,1.0,,,,,60.0,820.0,220.0,50.0,1730.0,1700.0,30.0
168,1002,Achtkarspelen,BU00590202,1.0,30.0,16.0,102.0,1.0,135.0,60.0,170.0,655.0,2970.0,2470.0,490.0
6330,1001,Haarlem,BU03922003,1.0,5.0,12.0,13.0,0.0,95.0,455.0,390.0,650.0,5700.0,4770.0,930.0
7761,1003,Hoogeveen,BU01185401,1.0,7.0,26.0,42.0,0.0,65.0,115.0,220.0,890.0,880.0,680.0,200.0
9505,1009,LoonopZand,WK080940,1.0,8.0,24.0,44.0,0.0,65.0,0.0,85.0,910.0,1920.0,1490.0,440.0
11472,1002,Oss,BU08282101,1.0,4.0,9.0,9.0,,100.0,0.0,125.0,1005.0,800.0,600.0,200.0
